description,amount,category
Bonus Received,6218.2,income
Gold Investment,6461.11,asset
Amazon Purchase,1122.07,expense
FD Deposit,1265.18,asset
Stock Purchase,5809.12,asset
Swiggy Order,2385.35,expense
Swiggy Order,2496.65,expense
Interest Credit,7586.19,income
FD Deposit,6230.15,asset
Electricity Bill,1536.35,expense
Car Loan EMI,4029.7,liability
Gold Investment,9405.71,asset
Car Loan EMI,8328.46,liability
Interest Credit,260.45,income
Electricity Bill,5074.04,expense
Interest Credit,457.55,income
FD Deposit,9232.33,asset
Interest Credit,710.78,income
Freelance Payment,3241.94,income
Electricity Bill,3132.04,expense
Freelance Payment,4788.05,income
Mutual Fund Investment,1583.64,asset
Loan EMI,4709.71,liability
Stock Purchase,6281.99,asset
Swiggy Order,8139.45,expense
Mutual Fund Investment,7455.55,asset
Electricity Bill,665.79,expense
Salary Credit,8843.0,income
Amazon Purchase,5291.92,expense
FD Deposit,5486.02,asset
Gold Investment,2561.78,asset
Credit Card Bill,8665.92,liability
Loan EMI,2542.99,liability
Salary Credit,759.77,income
FD Deposit,7418.48,asset
Stock Purchase,3823.46,asset
Gold Investment,5210.29,asset
Salary Credit,4810.6,income
Uber Ride,3737.95,expense
Electricity Bill,2558.72,expense
Home Loan Interest,4775.17,liability
Interest Credit,8138.3,income
FD Deposit,7018.11,asset
Electricity Bill,4131.22,expense
Freelance Payment,4225.08,income
FD Deposit,4815.89,asset
Loan EMI,9535.54,liability
Electricity Bill,7568.38,expense
Gold Investment,4252.22,asset
Car Loan EMI,3292.8,liability
Mutual Fund Investment,1034.7,asset
Loan EMI,9205.93,liability
Swiggy Order,6947.3,expense
Gold Investment,4450.88,asset
Stock Purchase,8838.17,asset
Car Loan EMI,2621.79,liability
Car Loan EMI,918.09,liability
Salary Credit,7110.28,income
Interest Credit,1978.23,income
Credit Card Bill,4526.02,liability
Amazon Purchase,8787.9,expense
Loan EMI,1775.78,liability
Gold Investment,5088.09,asset
Swiggy Order,6359.52,expense
Home Loan Interest,9461.79,liability
Salary Credit,3603.93,income
Car Loan EMI,7509.69,liability
Interest Credit,493.42,income
FD Deposit,4365.39,asset
Car Loan EMI,3428.07,liability
Credit Card Bill,5900.3,liability
Gold Investment,3501.25,asset
Interest Credit,4431.03,income
Freelance Payment,4324.6,income
Car Loan EMI,2342.35,liability
Swiggy Order,6961.2,expense
Interest Credit,2265.5,income
Home Loan Interest,6699.39,liability
Freelance Payment,7426.65,income
Credit Card Bill,9250.81,liability
Home Loan Interest,6721.41,liability
Electricity Bill,3810.81,expense
Amazon Purchase,2038.86,expense
FD Deposit,2944.35,asset
Bonus Received,7726.4,income
Home Loan Interest,4108.9,liability
Home Loan Interest,2541.33,liability
Car Loan EMI,1715.94,liability
Amazon Purchase,7092.0,expense
Stock Purchase,464.85,asset
Uber Ride,4191.81,expense
Interest Credit,3570.75,income
Mutual Fund Investment,5571.98,asset
Electricity Bill,5465.45,expense
Mutual Fund Investment,4241.87,asset
Freelance Payment,6422.85,income
Home Loan Interest,1664.64,liability
Car Loan EMI,6960.65,liability
Loan EMI,7615.2,liability
Electricity Bill,2541.6,expense
Bonus Received,7326.51,income
Interest Credit,6405.47,income
Electricity Bill,1598.28,expense
FD Deposit,609.82,asset
Amazon Purchase,4643.9,expense
Uber Ride,2339.13,expense
Mutual Fund Investment,4174.41,asset
Bonus Received,2443.11,income
Car Loan EMI,5074.37,liability
Stock Purchase,8262.54,asset
Loan EMI,1756.13,liability
Electricity Bill,7732.53,expense
Home Loan Interest,7121.63,liability
Swiggy Order,7263.8,expense
Home Loan Interest,8525.18,liability
Swiggy Order,3682.19,expense
Interest Credit,4085.95,income
Credit Card Bill,3095.53,liability
Mutual Fund Investment,9335.78,asset
Interest Credit,1052.23,income
Freelance Payment,2660.15,income
FD Deposit,6601.08,asset
Swiggy Order,9375.45,expense
Home Loan Interest,7559.58,liability
Uber Ride,1152.49,expense
Car Loan EMI,2476.05,liability
Bonus Received,8083.57,income
Loan EMI,6091.02,liability
Freelance Payment,9318.39,income
Loan EMI,814.14,liability
Gold Investment,1816.93,asset
Swiggy Order,3228.73,expense
Salary Credit,5560.96,income
Bonus Received,7304.96,income
Interest Credit,1525.9,income
Amazon Purchase,7004.46,expense
Amazon Purchase,3761.18,expense
Car Loan EMI,9356.56,liability
Swiggy Order,8579.48,expense
Freelance Payment,2530.59,income
Loan EMI,673.69,liability
Home Loan Interest,9511.5,liability
Home Loan Interest,7796.67,liability
Loan EMI,1473.15,liability
Mutual Fund Investment,4432.94,asset
Gold Investment,9172.56,asset
Electricity Bill,2101.53,expense
Loan EMI,2438.33,liability
Freelance Payment,2982.55,income
Salary Credit,2497.57,income
Electricity Bill,1114.92,expense
Swiggy Order,8576.08,expense
Electricity Bill,3185.54,expense
Car Loan EMI,6090.38,liability
Mutual Fund Investment,8077.97,asset
Loan EMI,5243.46,liability
Stock Purchase,9675.67,asset
Credit Card Bill,4598.18,liability
Electricity Bill,2781.6,expense
Freelance Payment,4598.49,income
Credit Card Bill,775.42,liability
Salary Credit,578.53,income
Electricity Bill,4326.85,expense
Stock Purchase,7538.74,asset
Mutual Fund Investment,4696.91,asset
Bonus Received,6059.07,income
Loan EMI,7968.41,liability
Mutual Fund Investment,5977.54,asset
Amazon Purchase,3547.62,expense
FD Deposit,8602.36,asset
Salary Credit,7727.92,income
Interest Credit,2041.95,income
Interest Credit,3738.95,income
Interest Credit,9511.65,income
Car Loan EMI,2260.69,liability
Home Loan Interest,3917.96,liability
FD Deposit,7682.26,asset
Freelance Payment,1239.34,income
Bonus Received,8446.56,income
Interest Credit,4572.62,income
FD Deposit,3241.79,asset
Car Loan EMI,9626.83,liability
Bonus Received,8986.34,income
Electricity Bill,1364.37,expense
Freelance Payment,9507.41,income
Stock Purchase,3328.25,asset
Credit Card Bill,3744.6,liability
Car Loan EMI,5506.88,liability
Electricity Bill,9389.53,expense
Credit Card Bill,1649.97,liability
Home Loan Interest,4798.13,liability
Stock Purchase,7610.22,asset
Credit Card Bill,8253.4,liability
Stock Purchase,2329.29,asset
Uber Ride,3950.18,expense
Home Loan Interest,9862.31,liability
Bonus Received,383.5,income
Swiggy Order,9454.43,expense
Stock Purchase,3909.31,asset
FD Deposit,9973.13,asset
Home Loan Interest,8410.97,liability
Uber Ride,2541.43,expense
Amazon Purchase,2619.51,expense
Salary Credit,7958.76,income
FD Deposit,7930.97,asset
Bonus Received,6893.9,income
Uber Ride,622.31,expense
Car Loan EMI,3308.12,liability
Home Loan Interest,1762.0,liability
Credit Card Bill,7265.85,liability
Uber Ride,6964.69,expense
Credit Card Bill,5946.97,liability
Uber Ride,5360.26,expense
Salary Credit,9930.25,income
Mutual Fund Investment,4531.31,asset
Interest Credit,3464.87,income
Uber Ride,3885.61,expense
Mutual Fund Investment,5381.03,asset
Swiggy Order,5574.55,expense
Mutual Fund Investment,575.13,asset
Amazon Purchase,811.19,expense
Uber Ride,5609.22,expense
Interest Credit,1348.86,income
Car Loan EMI,1962.62,liability
Interest Credit,9312.63,income
Freelance Payment,603.98,income
Credit Card Bill,2953.36,liability
Freelance Payment,4703.0,income
Gold Investment,4028.16,asset
Home Loan Interest,6375.42,liability
Amazon Purchase,5943.44,expense
FD Deposit,9223.76,asset
Home Loan Interest,8893.43,liability
Freelance Payment,1274.13,income
Stock Purchase,1660.0,asset
FD Deposit,8854.29,asset
Car Loan EMI,9222.39,liability
Salary Credit,5377.04,income
FD Deposit,1550.46,asset
Interest Credit,8280.79,income
Uber Ride,8006.35,expense
Amazon Purchase,4515.61,expense
Gold Investment,6204.31,asset
Salary Credit,3647.26,income
Interest Credit,6492.11,income
Uber Ride,6063.32,expense
Credit Card Bill,7055.91,liability
Mutual Fund Investment,5265.37,asset
Loan EMI,1315.71,liability
Salary Credit,2542.62,income
Credit Card Bill,6650.85,liability
Freelance Payment,2108.98,income
Mutual Fund Investment,9070.36,asset
Salary Credit,3431.82,income
Amazon Purchase,7964.52,expense
Loan EMI,4297.89,liability
Stock Purchase,3294.52,asset
Stock Purchase,9944.44,asset
Stock Purchase,861.45,asset
Swiggy Order,2078.29,expense
Uber Ride,1067.96,expense
Electricity Bill,6687.62,expense
Gold Investment,4704.09,asset
Swiggy Order,2231.77,expense
Stock Purchase,1118.1,asset
Uber Ride,6283.89,expense
Bonus Received,298.21,income
Car Loan EMI,8677.24,liability
Electricity Bill,4157.77,expense
Stock Purchase,995.67,asset
Gold Investment,328.93,asset
Stock Purchase,4204.42,asset
Interest Credit,5590.55,income
Uber Ride,9659.29,expense
Salary Credit,120.82,income
Home Loan Interest,6351.55,liability
Interest Credit,5871.46,income
Car Loan EMI,3205.99,liability
Gold Investment,7100.91,asset
Bonus Received,6270.69,income
Uber Ride,715.05,expense
Stock Purchase,657.59,asset
Salary Credit,6992.03,income
Bonus Received,5161.17,income
Credit Card Bill,5679.51,liability
Uber Ride,8911.35,expense
Home Loan Interest,390.47,liability
Mutual Fund Investment,856.94,asset
Stock Purchase,5235.01,asset
Freelance Payment,7938.98,income
Home Loan Interest,4108.74,liability
Electricity Bill,9727.88,expense
Interest Credit,9484.55,income
FD Deposit,986.29,asset
Salary Credit,1724.95,income
Bonus Received,4213.24,income
Freelance Payment,2822.65,income
Electricity Bill,7773.93,expense
Mutual Fund Investment,3973.63,asset
FD Deposit,8844.06,asset
Gold Investment,5550.5,asset
Uber Ride,4084.57,expense
Mutual Fund Investment,1120.47,asset
Swiggy Order,9294.71,expense
Car Loan EMI,4343.6,liability
Loan EMI,7961.56,liability
Credit Card Bill,5232.67,liability
FD Deposit,7971.64,asset
Stock Purchase,3078.51,asset
Car Loan EMI,6942.53,liability
Bonus Received,6638.59,income
Gold Investment,8274.71,asset
Stock Purchase,4392.16,asset
Stock Purchase,9246.99,asset
Car Loan EMI,6502.48,liability
Gold Investment,4796.72,asset
Stock Purchase,8847.67,asset
FD Deposit,8900.67,asset
Interest Credit,6238.73,income
Amazon Purchase,733.87,expense
Uber Ride,7191.59,expense
Mutual Fund Investment,8268.65,asset
Stock Purchase,2041.25,asset
Credit Card Bill,5979.97,liability
Swiggy Order,3138.3,expense
Gold Investment,5560.18,asset
Home Loan Interest,4899.42,liability
Loan EMI,4844.13,liability
Amazon Purchase,1048.13,expense
Car Loan EMI,4869.58,liability
Amazon Purchase,1818.07,expense
Car Loan EMI,2708.27,liability
FD Deposit,3545.94,asset
Stock Purchase,5943.35,asset
Mutual Fund Investment,6902.92,asset
Stock Purchase,8775.66,asset
Swiggy Order,9973.34,expense
Mutual Fund Investment,7686.52,asset
Credit Card Bill,7089.05,liability
Freelance Payment,3973.6,income
Salary Credit,6979.78,income
Interest Credit,861.88,income
Loan EMI,426.51,liability
Credit Card Bill,6917.85,liability
Electricity Bill,4539.6,expense
Loan EMI,6642.33,liability
Salary Credit,1725.88,income
Stock Purchase,7369.58,asset
Credit Card Bill,8925.29,liability
Gold Investment,5449.77,asset
Home Loan Interest,4598.61,liability
Swiggy Order,6782.96,expense
Mutual Fund Investment,3744.89,asset
Credit Card Bill,7785.97,liability
FD Deposit,9918.01,asset
Mutual Fund Investment,7701.12,asset
Loan EMI,6245.61,liability
Stock Purchase,5296.81,asset
Electricity Bill,1285.59,expense
Uber Ride,6194.7,expense
Gold Investment,7985.88,asset
Salary Credit,5440.17,income
Uber Ride,8824.94,expense
Salary Credit,745.96,income
Amazon Purchase,9640.38,expense
Amazon Purchase,3493.87,expense
Freelance Payment,4585.92,income
Gold Investment,9283.84,asset
Stock Purchase,4331.17,asset
Credit Card Bill,7658.49,liability
Interest Credit,4679.41,income
FD Deposit,3677.43,asset
Credit Card Bill,6259.33,liability
Amazon Purchase,9361.24,expense
Freelance Payment,5759.54,income
Stock Purchase,4769.57,asset
Loan EMI,3568.11,liability
Uber Ride,3521.51,expense
Credit Card Bill,3492.49,liability
Home Loan Interest,2943.2,liability
Stock Purchase,4090.94,asset
Salary Credit,8907.94,income
Mutual Fund Investment,2203.88,asset
Uber Ride,7327.97,expense
Electricity Bill,172.79,expense
FD Deposit,5141.41,asset
Electricity Bill,9592.64,expense
Stock Purchase,721.49,asset
Car Loan EMI,5033.95,liability
Loan EMI,2028.43,liability
Car Loan EMI,8899.05,liability
Amazon Purchase,9408.3,expense
Mutual Fund Investment,8951.89,asset
Home Loan Interest,6118.65,liability
Freelance Payment,9436.79,income
Salary Credit,8157.03,income
Car Loan EMI,5000.16,liability
Home Loan Interest,9915.69,liability
Electricity Bill,8330.03,expense
Gold Investment,5163.59,asset
Swiggy Order,5471.47,expense
Home Loan Interest,1772.52,liability
Swiggy Order,8566.84,expense
Mutual Fund Investment,6967.93,asset
Freelance Payment,2016.79,income
Home Loan Interest,1203.93,liability
Credit Card Bill,4515.92,liability
Home Loan Interest,7979.27,liability
Home Loan Interest,2930.44,liability
Mutual Fund Investment,4505.54,asset
Salary Credit,6448.48,income
Home Loan Interest,5587.98,liability
Amazon Purchase,565.03,expense
Swiggy Order,6520.39,expense
Freelance Payment,8185.54,income
Stock Purchase,5325.54,asset
Swiggy Order,5095.36,expense
Home Loan Interest,2306.35,liability
Swiggy Order,673.25,expense
Freelance Payment,3764.32,income
Home Loan Interest,6458.22,liability
Bonus Received,6039.08,income
FD Deposit,3792.06,asset
Uber Ride,8438.9,expense
Salary Credit,1392.74,income
Car Loan EMI,2780.97,liability
Stock Purchase,2296.91,asset
Car Loan EMI,6076.46,liability
Amazon Purchase,3757.36,expense
Mutual Fund Investment,9443.63,asset
Loan EMI,4529.54,liability
Home Loan Interest,2103.28,liability
Stock Purchase,8504.6,asset
Salary Credit,8753.17,income
Home Loan Interest,8957.8,liability
Credit Card Bill,3944.63,liability
Swiggy Order,5138.14,expense
Freelance Payment,1820.11,income
Bonus Received,2136.06,income
Stock Purchase,8766.84,asset
Home Loan Interest,6008.83,liability
FD Deposit,7494.62,asset
Uber Ride,2242.11,expense
Loan EMI,8333.63,liability
Home Loan Interest,5009.49,liability
FD Deposit,2764.09,asset
Bonus Received,9910.81,income
Swiggy Order,8126.62,expense
Freelance Payment,2089.21,income
Uber Ride,9147.7,expense
Credit Card Bill,3851.41,liability
Stock Purchase,1735.35,asset
Mutual Fund Investment,3430.69,asset
Bonus Received,6004.38,income
Swiggy Order,902.8,expense
Car Loan EMI,8610.89,liability
Salary Credit,1649.8,income
Bonus Received,6882.5,income
Amazon Purchase,9171.69,expense
Electricity Bill,9095.72,expense
Stock Purchase,2655.56,asset
Interest Credit,5896.46,income
Freelance Payment,8526.04,income
Electricity Bill,3072.7,expense
Amazon Purchase,1408.15,expense
Gold Investment,3121.46,asset
Loan EMI,9395.92,liability
Salary Credit,2629.03,income
Interest Credit,8713.61,income
Home Loan Interest,7415.56,liability
Freelance Payment,4887.56,income
Mutual Fund Investment,9271.63,asset
Salary Credit,742.26,income
Mutual Fund Investment,2956.89,asset
Electricity Bill,439.48,expense
FD Deposit,5184.75,asset
Home Loan Interest,6104.55,liability
Swiggy Order,1102.45,expense
Uber Ride,1044.82,expense
Bonus Received,8836.86,income
Mutual Fund Investment,7171.41,asset
Electricity Bill,4674.91,expense
Amazon Purchase,8026.76,expense
Interest Credit,3355.16,income
Uber Ride,8769.88,expense
Interest Credit,7409.42,income
Car Loan EMI,8787.1,liability
Interest Credit,4502.8,income
Gold Investment,7053.04,asset
Credit Card Bill,6393.47,liability
Mutual Fund Investment,2753.17,asset
Mutual Fund Investment,6367.55,asset
Freelance Payment,4569.69,income
Home Loan Interest,9390.71,liability
Interest Credit,7988.34,income
Stock Purchase,8426.06,asset
Salary Credit,9406.88,income
Swiggy Order,3310.9,expense
Car Loan EMI,8176.93,liability
Electricity Bill,8112.39,expense
Home Loan Interest,8419.32,liability
Mutual Fund Investment,4158.58,asset
Home Loan Interest,4506.41,liability
Home Loan Interest,4144.81,liability
Home Loan Interest,6886.2,liability
Electricity Bill,2549.72,expense
Stock Purchase,2378.63,asset
Mutual Fund Investment,4051.57,asset
Credit Card Bill,6301.88,liability
Amazon Purchase,4593.16,expense
Electricity Bill,4739.55,expense
Amazon Purchase,8088.18,expense
Loan EMI,1698.21,liability
Freelance Payment,8951.83,income
FD Deposit,1555.77,asset
Mutual Fund Investment,3426.37,asset
Mutual Fund Investment,6399.06,asset
Salary Credit,4415.26,income
Amazon Purchase,3596.19,expense
Car Loan EMI,2149.03,liability
Gold Investment,1636.48,asset
Bonus Received,7776.19,income
Freelance Payment,5986.98,income
Amazon Purchase,5416.23,expense
Credit Card Bill,4527.81,liability
Salary Credit,8545.99,income
Credit Card Bill,9451.86,liability
Uber Ride,3412.88,expense
Mutual Fund Investment,873.83,asset
Uber Ride,3699.52,expense
Uber Ride,7897.3,expense
Freelance Payment,2874.19,income
Freelance Payment,7551.38,income
Mutual Fund Investment,673.76,asset
Gold Investment,8153.01,asset
Interest Credit,1124.54,income
Interest Credit,4402.34,income
Mutual Fund Investment,6808.15,asset
Bonus Received,8403.31,income
Loan EMI,2191.54,liability
Loan EMI,3432.97,liability
Stock Purchase,4440.88,asset
Bonus Received,7313.67,income
Salary Credit,5894.58,income
Loan EMI,5744.04,liability
Loan EMI,2944.91,liability
Interest Credit,9788.36,income
Stock Purchase,2331.68,asset
Loan EMI,5878.46,liability
Bonus Received,8092.39,income
Uber Ride,3142.57,expense
Loan EMI,1260.31,liability
Credit Card Bill,601.07,liability
Home Loan Interest,1774.0,liability
Credit Card Bill,8779.9,liability
Stock Purchase,4046.84,asset
Freelance Payment,8637.92,income
FD Deposit,6553.17,asset
Mutual Fund Investment,8977.95,asset
Home Loan Interest,2051.31,liability
Uber Ride,7834.19,expense
Swiggy Order,3296.42,expense
Home Loan Interest,7606.47,liability
Loan EMI,1301.49,liability
Amazon Purchase,6856.04,expense
Swiggy Order,7311.52,expense
Interest Credit,280.16,income
Uber Ride,9331.33,expense
Amazon Purchase,8954.98,expense
Electricity Bill,8720.25,expense
Bonus Received,623.56,income
Credit Card Bill,8342.57,liability
Bonus Received,244.46,income
Swiggy Order,9430.86,expense
Car Loan EMI,9697.94,liability
Swiggy Order,893.15,expense
Swiggy Order,9489.21,expense
Car Loan EMI,9385.09,liability
Mutual Fund Investment,3755.27,asset
Uber Ride,883.83,expense
Gold Investment,6750.8,asset
Home Loan Interest,9025.08,liability
Swiggy Order,5268.38,expense
Salary Credit,5918.37,income
Car Loan EMI,7932.14,liability
Amazon Purchase,9624.3,expense
Gold Investment,7054.76,asset
Amazon Purchase,5810.48,expense
Loan EMI,9820.22,liability
FD Deposit,2842.87,asset
Home Loan Interest,9461.2,liability
Uber Ride,9306.56,expense
Bonus Received,5096.97,income
Home Loan Interest,6254.67,liability
Amazon Purchase,1958.11,expense
Gold Investment,3285.22,asset
Credit Card Bill,7585.31,liability
Uber Ride,772.8,expense
Freelance Payment,4353.55,income
Amazon Purchase,7688.39,expense
Uber Ride,6426.0,expense
Amazon Purchase,9746.73,expense
Loan EMI,8312.44,liability
FD Deposit,3944.38,asset
Swiggy Order,5225.49,expense
Bonus Received,1574.62,income
Electricity Bill,9052.07,expense
Freelance Payment,1967.43,income
Home Loan Interest,7932.6,liability
Credit Card Bill,3286.72,liability
Freelance Payment,7860.94,income
Stock Purchase,5105.02,asset
Credit Card Bill,7691.86,liability
Stock Purchase,4435.67,asset
Stock Purchase,7554.55,asset
Freelance Payment,3370.78,income
FD Deposit,4952.21,asset
Interest Credit,5981.87,income
Home Loan Interest,3217.89,liability
Home Loan Interest,5666.7,liability
FD Deposit,1457.26,asset
Car Loan EMI,6070.7,liability
FD Deposit,9953.39,asset
Uber Ride,4945.66,expense
Credit Card Bill,6781.34,liability
Loan EMI,7007.44,liability
Home Loan Interest,3378.03,liability
Uber Ride,6069.41,expense
Amazon Purchase,1975.93,expense
Credit Card Bill,1183.17,liability
Electricity Bill,8250.41,expense
Freelance Payment,3722.34,income
Electricity Bill,2495.89,expense
Swiggy Order,5276.58,expense
Stock Purchase,5099.34,asset
Gold Investment,4816.73,asset
Bonus Received,4872.29,income
Stock Purchase,6341.1,asset
Salary Credit,1586.8,income
Amazon Purchase,4229.04,expense
Salary Credit,5510.13,income
Mutual Fund Investment,6732.55,asset
Loan EMI,7460.85,liability
Stock Purchase,7137.47,asset
Salary Credit,1650.53,income
Gold Investment,883.8,asset
Car Loan EMI,5885.75,liability
Interest Credit,5338.55,income
Freelance Payment,1075.88,income
Bonus Received,5999.97,income
Mutual Fund Investment,3732.08,asset
Uber Ride,9761.96,expense
Mutual Fund Investment,1907.51,asset
Gold Investment,8941.93,asset
Amazon Purchase,6168.03,expense
Credit Card Bill,555.96,liability
Home Loan Interest,8584.53,liability
Bonus Received,7876.96,income
Car Loan EMI,2289.91,liability
Electricity Bill,2094.78,expense
Car Loan EMI,8909.54,liability
Car Loan EMI,7188.4,liability
Credit Card Bill,8300.87,liability
Home Loan Interest,6604.39,liability
Uber Ride,9113.94,expense
Stock Purchase,6084.14,asset
Credit Card Bill,3691.69,liability
Swiggy Order,7290.8,expense
Swiggy Order,3024.77,expense
FD Deposit,3469.97,asset
Swiggy Order,1738.23,expense
Swiggy Order,4706.38,expense
Swiggy Order,7947.79,expense
Electricity Bill,3731.95,expense
Stock Purchase,8786.5,asset
Home Loan Interest,5363.58,liability
Mutual Fund Investment,9602.94,asset
Electricity Bill,285.36,expense
Electricity Bill,6222.07,expense
Uber Ride,3451.19,expense
Uber Ride,7821.57,expense
Swiggy Order,9836.58,expense
Amazon Purchase,9974.37,expense
FD Deposit,6660.03,asset
Stock Purchase,4017.3,asset
Stock Purchase,6342.71,asset
Stock Purchase,2399.72,asset
Loan EMI,6725.15,liability
Bonus Received,9491.38,income
Gold Investment,3350.6,asset
Car Loan EMI,7283.56,liability
FD Deposit,7471.68,asset
Car Loan EMI,5305.65,liability
Salary Credit,8484.25,income
Salary Credit,2703.14,income
Car Loan EMI,7564.98,liability
Credit Card Bill,6118.41,liability
Swiggy Order,9419.0,expense
Home Loan Interest,9621.7,liability
Freelance Payment,5575.2,income
Stock Purchase,7457.74,asset
Freelance Payment,270.51,income
Stock Purchase,3705.87,asset
Electricity Bill,2108.63,expense
Salary Credit,2944.72,income
Stock Purchase,2696.52,asset
Mutual Fund Investment,7882.28,asset
Uber Ride,3208.25,expense
Interest Credit,4400.5,income
Loan EMI,746.55,liability
Stock Purchase,9155.09,asset
FD Deposit,5733.14,asset
Gold Investment,4935.23,asset
Car Loan EMI,8010.57,liability
Credit Card Bill,9596.19,liability
Electricity Bill,7916.7,expense
Credit Card Bill,8000.55,liability
Stock Purchase,6462.37,asset
FD Deposit,779.56,asset
Electricity Bill,1713.46,expense
Amazon Purchase,2007.81,expense
Home Loan Interest,4334.24,liability
Stock Purchase,797.2,asset
Uber Ride,5734.6,expense
Credit Card Bill,3938.05,liability
Mutual Fund Investment,9403.16,asset
Home Loan Interest,2826.55,liability
Interest Credit,9872.23,income
Bonus Received,5327.98,income
Salary Credit,5210.93,income
Amazon Purchase,4278.57,expense
Swiggy Order,4275.2,expense
Stock Purchase,9298.97,asset
Interest Credit,585.92,income
Car Loan EMI,6970.11,liability
Loan EMI,9948.89,liability
Electricity Bill,1145.03,expense
Freelance Payment,5778.6,income
Loan EMI,3247.69,liability
Interest Credit,2964.79,income
Freelance Payment,7554.58,income
Salary Credit,1800.39,income
Gold Investment,2474.35,asset
Interest Credit,4619.32,income
Uber Ride,4243.8,expense
Car Loan EMI,8844.45,liability
Gold Investment,5364.85,asset
Salary Credit,4394.33,income
FD Deposit,8128.85,asset
Bonus Received,2324.16,income
Stock Purchase,3728.31,asset
Car Loan EMI,369.73,liability
FD Deposit,6199.74,asset
Car Loan EMI,1277.72,liability
Salary Credit,7790.48,income
Home Loan Interest,9412.29,liability
Uber Ride,5095.44,expense
Bonus Received,2930.5,income
Interest Credit,1502.71,income
Gold Investment,5900.1,asset
FD Deposit,3234.94,asset
Electricity Bill,2269.69,expense
Interest Credit,391.78,income
Salary Credit,5728.84,income
Salary Credit,3098.78,income
Home Loan Interest,902.01,liability
Stock Purchase,9181.16,asset
Mutual Fund Investment,8634.4,asset
Home Loan Interest,9371.14,liability
Credit Card Bill,925.34,liability
Loan EMI,905.45,liability
Gold Investment,8932.52,asset
FD Deposit,7886.52,asset
Car Loan EMI,6040.2,liability
Amazon Purchase,343.74,expense
Stock Purchase,4737.33,asset
Bonus Received,6529.52,income
Swiggy Order,1246.6,expense
Salary Credit,8137.56,income
Mutual Fund Investment,6633.91,asset
FD Deposit,6270.42,asset
Stock Purchase,5319.47,asset
Swiggy Order,5079.98,expense
Uber Ride,7119.71,expense
Swiggy Order,9599.75,expense
Car Loan EMI,848.26,liability
Freelance Payment,6860.41,income
Freelance Payment,9772.23,income
Stock Purchase,3447.33,asset
Bonus Received,1006.04,income
Stock Purchase,5819.63,asset
Salary Credit,8189.06,income
Uber Ride,9104.19,expense
Home Loan Interest,1354.09,liability
Stock Purchase,5858.46,asset
Freelance Payment,6659.64,income
Freelance Payment,5847.75,income
Mutual Fund Investment,7418.38,asset
Freelance Payment,880.93,income
Amazon Purchase,4768.57,expense
Bonus Received,916.04,income
Bonus Received,3699.2,income
Swiggy Order,3036.62,expense
Gold Investment,495.82,asset
Amazon Purchase,6076.77,expense
Credit Card Bill,689.61,liability
Credit Card Bill,9293.73,liability
Interest Credit,9865.14,income
Uber Ride,7444.29,expense
Stock Purchase,8938.34,asset
FD Deposit,1430.85,asset
Interest Credit,1011.46,income
Credit Card Bill,5622.44,liability
Swiggy Order,2576.24,expense
Freelance Payment,4056.13,income
Interest Credit,9173.76,income
Credit Card Bill,7747.85,liability
Bonus Received,7414.26,income
Car Loan EMI,2900.82,liability
Home Loan Interest,9813.87,liability
Freelance Payment,3753.54,income
Bonus Received,457.13,income
Loan EMI,1682.37,liability
Mutual Fund Investment,2421.14,asset
Stock Purchase,4143.61,asset
Interest Credit,9858.78,income
Stock Purchase,4594.62,asset
Loan EMI,751.45,liability
Freelance Payment,5061.37,income
Stock Purchase,8273.87,asset
FD Deposit,8320.9,asset
Electricity Bill,5427.29,expense
Freelance Payment,5605.85,income
Credit Card Bill,7739.97,liability
Gold Investment,4008.42,asset
Freelance Payment,4487.58,income
Stock Purchase,6049.73,asset
Stock Purchase,7579.6,asset
Credit Card Bill,1571.66,liability
Amazon Purchase,3633.13,expense
Loan EMI,5652.16,liability
Loan EMI,7917.3,liability
Amazon Purchase,3024.23,expense
Uber Ride,3415.16,expense
Salary Credit,1095.16,income
Salary Credit,204.35,income
Stock Purchase,3302.58,asset
Car Loan EMI,7659.64,liability
Amazon Purchase,9744.97,expense
Gold Investment,8315.99,asset
Credit Card Bill,6224.02,liability
Salary Credit,8627.76,income
Mutual Fund Investment,5107.48,asset
Loan EMI,5513.88,liability
Car Loan EMI,7673.54,liability
Swiggy Order,5703.25,expense
Swiggy Order,2110.17,expense
Amazon Purchase,9578.75,expense
Uber Ride,282.17,expense
Bonus Received,8062.37,income
Salary Credit,8761.21,income
Car Loan EMI,9767.42,liability
Amazon Purchase,6978.65,expense
Swiggy Order,7705.25,expense
FD Deposit,9936.18,asset
FD Deposit,7309.19,asset
Electricity Bill,1871.46,expense
Electricity Bill,8084.44,expense
Stock Purchase,2987.2,asset
Home Loan Interest,8660.12,liability
Gold Investment,6405.19,asset
Salary Credit,364.81,income
Swiggy Order,5029.84,expense
Car Loan EMI,3437.59,liability
Swiggy Order,8850.37,expense
Swiggy Order,7408.14,expense
Amazon Purchase,9128.44,expense
Home Loan Interest,2415.48,liability
Car Loan EMI,7403.55,liability
Amazon Purchase,5976.04,expense
Gold Investment,5899.94,asset
Freelance Payment,6603.67,income
Stock Purchase,200.97,asset
Credit Card Bill,1256.82,liability
Mutual Fund Investment,5161.42,asset
Salary Credit,8958.57,income
Salary Credit,1141.1,income
Mutual Fund Investment,857.12,asset
