id,description,amount,category
852,Equipment,75021.05,asset
853,Accrued Expenses,21069.57,liability
854,Salary Expense,89815.62,expense
855,Accounts Receivable,20593.45,asset
856,Cash,19149.7,asset
857,Marketing Expense,3751.31,expense
858,Marketing Expense,47259.49,expense
859,Cash,56527.63,asset
860,Interest Income,6664.29,income
861,Marketing Expense,77575.21,expense
862,Salary Expense,45383.55,expense
863,Marketing Expense,52486.59,expense
864,Prepaid Expense,44132.2,asset
865,Service Income,40136.23,income
866,Utility Expense,56008.07,expense
867,Salary Expense,15608.5,expense
868,Accounts Payable,18274.62,liability
869,Sales Revenue,86192.38,income
870,Inventory,94616.93,asset
871,Accounts Receivable,37393.6,asset
872,Inventory,27147.39,asset
873,Service Income,64435.55,income
874,Prepaid Expense,40932.54,asset
875,Interest Income,2636.1,income
876,,15699.64,liability
877,Inventory,71625.63,asset
878,Prepaid Expense,65926.5,asset
879,Equipment,2806.89,asset
880,Interest Income,22275.02,income
881,Salary Expense,23184.37,expense
882,Utility Expense,67222.09,expense
883,Inventory,2069.08,asset
884,Tax Payable,10500.45,liability
885,Interest Income,80011.62,income
886,Service Income,17936.61,income
887,Sales Revenue,65309.34,income
888,Sales Revenue,23894.46,income
889,Rent Expense,10034.2,expense
890,Utility Expense,24392.9,expense
891,Loan Payable,72254.47,liability
892,Accrued Expenses,85584.08,liability
893,Tax Payable,83038.96,liability
894,Sales Revenue,39778.63,income
895,Inventory,66841.71,asset
896,Accounts Payable,20577.93,liability
897,Accounts Receivable,,asset
898,Cash,89643.95,asset
899,Interest Income,1398.89,income
900,Loan Payable,8642.3,liability
901,Equipment,20867.84,asset
902,Utility Expense,2750.57,expense
903,Utility Expense,18225.4,expense
904,Rent Expense,58345.85,expense
905,Accrued Expenses,42200.31,liability
906,Cash,89277.9,asset
907,Tax Payable,81762.61,liability
908,Rent Expense,34247.55,expense
909,Prepaid Expense,26016.4,asset
910,Cash,38031.27,asset
911,Interest Income,59070.46,income
912,Prepaid Expense,26879.56,asset
913,Equipment,62452.48,asset
914,Accrued Expenses,41000.22,liability
915,Salary Expense,55249.51,expense
916,,43669.04,liability
917,Utility Expense,29517.13,expense
918,Rent Expense,invalid,expense
919,Interest Income,76384.22,income
920,Interest Income,14097.31,income
921,Accrued Expenses,86859.95,liability
922,Interest Income,48794.38,income
923,Tax Payable,89465.77,liability
924,Salary Expense,80005.54,expense
925,Utility Expense,42578.83,expense
926,Tax Payable,2344.68,liability
927,Sales Revenue,26940.87,income
928,Loan Payable,54209.26,liability
929,Service Income,63384.47,income
930,Marketing Expense,25862.98,expense
931,Cash,14021.67,asset
932,Equipment,83509.53,asset
933,Accrued Expenses,98441.78,liability
934,Utility Expense,52616.45,expense
935,Utility Expense,17250.76,expense
936,Equipment,27303.5,asset
937,Accounts Payable,1937.23,liability
938,Cash,91438.45,asset
939,Utility Expense,11863.33,expense
940,Tax Payable,57694.0,liability
941,Service Income,27478.12,income
942,Sales Revenue,55462.38,income
943,Marketing Expense,65176.9,expense
944,Accrued Expenses,82991.21,liability
945,Tax Payable,20721.49,liability
946,Marketing Expense,1198.48,expense
947,Service Income,13774.87,income
948,Service Income,90011.86,income
949,Rent Expense,87401.62,expense
950,Rent Expense,59781.57,expense
951,Loan Payable,60091.63,liability
952,Inventory,66537.16,asset
953,Interest Income,17619.59,income
954,Service Income,91449.75,income
955,,41935.18,income
956,Equipment,38375.54,asset
957,Service Income,51939.88,income
958,Service Income,4791.9,income
959,Equipment,16711.71,asset
960,Service Income,73829.56,income
961,Sales Revenue,8371.59,income
962,Sales Revenue,60354.9,income
963,Service Income,24610.38,income
964,Tax Payable,38990.63,liability
965,Accounts Payable,28940.5,liability
966,Sales Revenue,35631.7,income
967,Equipment,71932.69,asset
968,Marketing Expense,29782.46,expense
969,Service Income,56683.82,income
970,Interest Income,47657.44,income
971,Loan Payable,66400.75,liability
972,Cash,93689.29,asset
973,Inventory,73283.95,asset
974,Utility Expense,21572.54,expense
975,Loan Payable,3215.2,liability
976,Prepaid Expense,26300.18,asset
977,Marketing Expense,59548.29,expense
978,Utility Expense,5237.44,expense
979,Utility Expense,49686.99,expense
980,Salary Expense,59724.6,expense
981,Prepaid Expense,invalid,asset
982,Sales Revenue,77114.13,income
983,Marketing Expense,10749.17,expense
984,Interest Income,7606.26,income
985,Loan Payable,72846.06,liability
986,Accounts Receivable,49599.58,asset
987,Loan Payable,68871.4,liability
988,Cash,43539.25,asset
989,Sales Revenue,24715.56,income
990,Tax Payable,81928.32,liability
991,Tax Payable,79961.65,liability
992,Interest Income,69500.18,income
993,Utility Expense,27287.3,expense
994,Salary Expense,59064.04,expense
995,Accounts Receivable,36161.29,asset
996,Interest Income,9249.05,income
997,Service Income,91739.63,income
998,Rent Expense,13768.18,expense
999,Accounts Receivable,95028.71,asset
1000,Interest Income,44655.98,income
1001,Prepaid Expense,18594.78,asset
1002,Rent Expense,54235.9,expense
1003,Interest Income,87307.29,income
1004,Sales Revenue,73249.27,income
1005,Salary Expense,80675.46,expense
1006,Rent Expense,65912.46,expense
1007,Accounts Payable,69258.43,liability
1008,,84934.65,asset
1009,Loan Payable,25041.83,liability
1010,Sales Revenue,48993.55,income
1011,Service Income,22198.82,income
1012,Cash,98768.03,asset
1013,Cash,94411.53,asset
1014,Accounts Receivable,4038.74,asset
1015,Interest Income,invalid,income
1016,Interest Income,92532.31,income
1017,Marketing Expense,18139.48,expense
1018,Accrued Expenses,56837.73,liability
1019,Accounts Payable,91557.28,liability
1020,Accounts Payable,3491.2,liability
1021,Sales Revenue,69772.28,income
1022,Rent Expense,29805.17,expense
1023,Service Income,92447.18,income
1024,Accrued Expenses,97108.72,liability
1025,Sales Revenue,94432.22,income
1026,Loan Payable,47474.0,liability
1027,Loan Payable,86218.06,liability
1028,Sales Revenue,84470.48,income
1029,Sales Revenue,31978.14,income
1030,Interest Income,82908.66,income
1031,Service Income,3797.06,income
1032,Sales Revenue,59667.36,income
1033,Accounts Receivable,23077.88,asset
1034,Service Income,12144.63,income
1035,Cash,7787.62,asset
1036,Sales Revenue,69659.25,income
1037,Accounts Receivable,34053.51,asset
1038,Interest Income,72504.2,income
1039,Interest Income,6629.1,income
1040,Utility Expense,31597.5,expense
1041,Service Income,53995.18,income
1042,Interest Income,79093.24,income
1043,Loan Payable,31943.38,liability
1044,Tax Payable,62626.55,liability
1045,Rent Expense,88609.18,expense
1046,Tax Payable,invalid,liability
1047,Rent Expense,23372.65,expense
1048,Sales Revenue,2537.64,income
1049,Marketing Expense,87022.88,expense
1050,Tax Payable,2224.81,liability
1051,Marketing Expense,87482.7,expense
1052,Accounts Receivable,52940.82,asset
1053,Salary Expense,93912.86,expense
1054,Service Income,79898.45,income
1055,Service Income,99793.62,income
1056,Accounts Receivable,35136.11,asset
1057,Interest Income,76742.11,income
1058,Cash,40252.9,asset
1059,,48039.57,income
1060,Accounts Payable,62787.8,liability
1061,Utility Expense,87380.34,expense
1062,Salary Expense,98409.94,expense
1063,Sales Revenue,76850.51,income
1064,Cash,41834.9,asset
1065,Salary Expense,,expense
1066,Sales Revenue,73784.47,income
1067,Inventory,23953.84,asset
1068,Salary Expense,11136.36,expense
1069,Interest Income,35526.75,income
1070,Prepaid Expense,28795.18,asset
1071,Accounts Payable,29701.18,liability
1072,Inventory,23437.41,asset
1073,Marketing Expense,4305.11,expense
1074,Accrued Expenses,1885.61,liability
1075,Inventory,,asset
1076,Utility Expense,42834.54,expense
1077,Equipment,38494.23,asset
1078,Prepaid Expense,67996.76,asset
1079,Prepaid Expense,21903.56,asset
1080,Inventory,95001.12,asset
1081,Cash,78655.87,asset
1082,Tax Payable,9032.16,liability
1083,Interest Income,41816.32,income
1084,Cash,87923.92,asset
1085,Accounts Payable,94478.73,liability
1086,Sales Revenue,46793.41,income
1087,Accounts Payable,61379.8,liability
1088,Accounts Receivable,16786.69,asset
1089,Inventory,99117.75,asset
1090,Accounts Receivable,23244.0,asset
1091,Rent Expense,94278.9,expense
1092,Interest Income,64999.7,income
1093,Interest Income,60812.91,income
1094,Loan Payable,51317.58,liability
1095,Rent Expense,23143.91,expense
1096,Accrued Expenses,17735.15,liability
1097,Sales Revenue,22126.57,income
1098,Service Income,18725.18,income
1099,Accounts Receivable,77980.49,asset
1100,Service Income,35077.51,income
1101,Tax Payable,5878.48,liability
1102,Marketing Expense,96913.35,expense
1103,Rent Expense,88390.21,expense
1104,Cash,92782.45,asset
1105,Inventory,99491.29,asset
1106,Equipment,17472.14,asset
1107,Interest Income,,income
1108,Service Income,,income
1109,Prepaid Expense,69632.46,asset
1110,Sales Revenue,15474.2,income
1111,Service Income,81601.73,income
1112,Service Income,22521.61,income
1113,Accounts Payable,22459.38,liability
1114,Marketing Expense,53743.74,expense
1115,Sales Revenue,59334.7,income
1116,Accounts Payable,58050.61,liability
1117,Accrued Expenses,9239.54,liability
1118,Marketing Expense,87758.34,expense
1119,Sales Revenue,26633.44,income
1120,Cash,13038.54,asset
1121,Tax Payable,88885.93,liability
1122,Accrued Expenses,95569.58,liability
1123,Service Income,86226.55,income
1124,Equipment,80970.66,asset
1125,Utility Expense,65558.67,expense
1126,Marketing Expense,55130.65,expense
1127,,8789.98,asset
1128,Service Income,40904.48,income
1129,Loan Payable,37331.58,liability
1130,Utility Expense,26049.4,expense
1131,Loan Payable,72369.67,liability
1132,Accounts Receivable,49637.99,asset
1133,Service Income,8196.52,income
1134,Rent Expense,22096.3,expense
1135,Sales Revenue,68357.55,income
1136,Marketing Expense,7705.47,expense
1137,Accounts Payable,85135.57,liability
1138,Marketing Expense,49565.14,expense
1139,Service Income,48110.6,income
1140,Equipment,,asset
1141,Marketing Expense,82485.63,expense
1142,Service Income,34846.14,income
1143,Marketing Expense,67833.81,expense
1144,Sales Revenue,56616.62,income
1145,Rent Expense,26776.12,expense
1146,Accounts Receivable,87875.14,asset
1147,Tax Payable,79762.86,liability
1148,Sales Revenue,65879.34,income
1149,Service Income,85073.11,income
1150,Accrued Expenses,86742.69,liability
1151,Equipment,70865.46,asset
1152,Inventory,83717.63,asset
1153,Sales Revenue,69777.4,income
1154,Accrued Expenses,68046.06,liability
1155,Prepaid Expense,61899.28,asset
1156,Cash,75296.39,asset
1157,Utility Expense,15944.65,expense
1158,Accounts Payable,88098.99,liability
1159,Accounts Receivable,87197.17,asset
1160,Rent Expense,3021.8,expense
1161,Accrued Expenses,82599.09,liability
1162,Salary Expense,12974.1,expense
1163,Inventory,33578.37,asset
1164,Accounts Payable,74376.47,liability
1165,Accounts Payable,16159.91,liability
1166,Tax Payable,81814.91,liability
1167,Loan Payable,83230.2,liability
1168,Service Income,50796.03,income
1169,Service Income,737.95,income
1170,Accrued Expenses,28775.11,liability
1171,Service Income,61731.0,income
1172,Sales Revenue,98120.5,income
1173,Inventory,63218.17,asset
1174,Sales Revenue,26054.38,income
1175,Interest Income,63437.17,income
1176,Accounts Payable,54044.54,liability
1177,Sales Revenue,78006.55,income
1178,Service Income,10787.37,income
1179,Accrued Expenses,76126.69,liability
1180,Service Income,54172.53,income
1181,Salary Expense,96302.9,expense
1182,Accrued Expenses,34253.03,liability
1183,Loan Payable,63298.93,liability
1184,Rent Expense,,expense
1185,Inventory,10340.72,asset
1186,Inventory,93729.13,asset
1187,Utility Expense,68819.78,expense
1188,Rent Expense,6876.92,expense
1189,Prepaid Expense,30166.26,asset
1190,Accounts Payable,70846.39,liability
1191,Tax Payable,6828.33,liability
1192,Prepaid Expense,58258.83,asset
1193,Cash,34653.72,asset
1194,Accrued Expenses,62129.46,liability
1195,Rent Expense,4669.63,expense
1196,Cash,87166.53,asset
1197,Service Income,97351.55,income
1198,Service Income,96890.9,income
1199,Prepaid Expense,74990.22,asset
1200,Accounts Receivable,13095.62,asset
1201,Cash,75850.49,asset
1202,Loan Payable,2556.23,liability
1203,Accounts Payable,,liability
1204,Interest Income,,income
1205,Marketing Expense,48915.45,expense
1206,Loan Payable,77063.7,liability
1207,Rent Expense,68361.21,expense
1208,Accounts Payable,44645.68,liability
1209,Loan Payable,27435.3,liability
1210,Rent Expense,99712.74,expense
1211,Loan Payable,42675.51,liability
1212,Rent Expense,45193.56,expense
1213,Loan Payable,16446.02,liability
1214,Tax Payable,invalid,liability
1215,Accounts Receivable,69398.85,asset
1216,Interest Income,invalid,income
1217,Sales Revenue,8329.87,income
1218,Service Income,68081.88,income
1219,Prepaid Expense,65485.67,asset
1220,Inventory,27398.63,asset
1221,Cash,95091.27,asset
1222,Marketing Expense,15190.68,expense
1223,Interest Income,43290.25,income
1224,Service Income,94367.23,income
1225,Accounts Receivable,42030.76,asset
1226,Sales Revenue,63888.74,income
1227,Accrued Expenses,39819.68,liability
1228,Salary Expense,27494.1,expense
1229,Accounts Receivable,98399.37,asset
1230,Marketing Expense,40992.47,expense
1231,Interest Income,89420.51,income
1232,Salary Expense,23072.47,expense
1233,Service Income,21389.16,income
1234,Loan Payable,3210.29,liability
1235,Tax Payable,65201.52,liability
1236,Rent Expense,36915.78,expense
1237,Accrued Expenses,86449.39,liability
1238,,47373.67,expense
1239,Equipment,96822.52,asset
1240,Prepaid Expense,18634.0,asset
1241,Tax Payable,86875.45,liability
1242,Rent Expense,77682.03,expense
1243,Tax Payable,77115.09,liability
1244,Prepaid Expense,84493.84,asset
1245,Accrued Expenses,76126.3,liability
1246,Cash,62659.41,asset
1247,Rent Expense,13211.36,expense
1248,Accrued Expenses,3349.37,liability
1249,Cash,92092.7,asset
1250,Service Income,61703.37,income
1251,Salary Expense,79674.08,expense
1252,Prepaid Expense,48204.08,asset
1253,Accrued Expenses,11819.09,liability
1254,Service Income,12606.06,income
1255,Equipment,68587.97,asset
1256,,43087.56,income
1257,Interest Income,20132.42,income
1258,Rent Expense,49210.3,expense
1259,Loan Payable,6514.47,liability
1260,Marketing Expense,58238.94,expense
1261,Accrued Expenses,26972.44,liability
1262,Salary Expense,79776.15,expense
1263,Equipment,31105.16,asset
1264,Prepaid Expense,45576.49,asset
1265,Equipment,1260.89,asset
1266,Utility Expense,7337.44,expense
1267,Cash,39310.11,asset
1268,Rent Expense,48045.89,expense
1269,Marketing Expense,60042.05,expense
1270,Utility Expense,29237.09,expense
1271,Salary Expense,69528.69,expense
1272,Tax Payable,86026.23,liability
1273,Sales Revenue,78007.11,income
1274,Accrued Expenses,4057.92,liability
1275,Sales Revenue,48102.64,income
1276,Sales Revenue,10582.52,income
1277,Accrued Expenses,24280.3,liability
1278,Accounts Receivable,98667.59,asset
1279,Interest Income,14335.3,income
1280,Salary Expense,49938.93,expense
1281,Cash,61853.76,asset
1282,Prepaid Expense,70276.25,asset
1283,Loan Payable,56008.9,liability
1284,Service Income,1076.11,income
1285,Service Income,32713.48,income
1286,Rent Expense,51819.39,expense
1287,Rent Expense,8877.86,expense
1288,Cash,35127.63,asset
1289,Salary Expense,3416.99,expense
1290,Service Income,7949.99,income
1291,Salary Expense,39752.64,expense
1292,,13358.3,income
1293,Interest Income,56797.33,income
1294,Prepaid Expense,68977.55,asset
1295,Marketing Expense,80078.61,expense
1296,Interest Income,20095.01,income
1297,Prepaid Expense,16831.51,asset
1298,Utility Expense,10546.33,expense
1299,Service Income,63679.38,income
1300,Interest Income,70676.93,income
1301,Sales Revenue,3255.46,income
1302,Equipment,93627.6,asset
1303,Accrued Expenses,5291.93,liability
1304,Accrued Expenses,54175.5,liability
